t_s,d1_m,d2_m,vs_mps,vus_mps,u_N,road_amp_m,road_freq_rads
35.2,-9.45646,5.87639,0.01988,-0.03785,-0.1324,0.0150,25.00
35.3,2.52957,8.79487,0.04426,0.00331,3.3284,0.0150,25.00
35.4,-1.89997,-4.65784,0.03279,0.07412,4.1682,0.0150,25.00
35.5,6.09962,1.98544,0.01154,0.01370,0.0341,0.0150,25.00
35.6,-3.33609,8.08527,0.03984,0.09322,4.1076,0.0150,25.00
35.7,8.27117,17.99286,-0.01602,-0.05869,-5.0203,0.0150,25.00
35.8,-10.24652,-10.17630,-0.13742,0.04429,-8.5738,0.0150,25.00
35.9,-9.55451,3.31643,-0.00959,-0.03847,-2.7821,0.0150,25.00
36.0,1.00574,4.18188,0.03407,-0.07299,0.6756,0.0150,25.00
36.1,0.44757,7.25691,0.00295,0.00524,-0.4872,0.0150,25.00
36.2,-3.04649,0.10608,0.00904,0.01005,-0.0625,0.0150,25.00
36.3,1.69749,8.49067,0.02867,0.04001,1.2968,0.0150,25.00
36.4,-2.16503,-2.79549,0.01856,0.05549,2.6971,0.0150,25.00
36.5,2.87201,-4.68549,-0.01948,0.00524,0.4355,0.0150,25.00
36.6,-1.70172,-1.55679,0.06431,0.06365,4.6129,0.0150,25.00
36.7,10.22341,19.87871,-0.03787,-0.08410,-6.7722,0.0150,25.00
36.8,-13.53808,-0.71716,-0.10517,0.06243,-6.7599,0.0150,25.00
36.9,-8.20707,3.79234,0.00313,-0.04309,-1.5809,0.0150,25.00
37.0,2.70508,-5.56406,0.01946,-0.00935,2.4708,0.0150,25.00
37.1,-0.35520,1.83830,-0.00739,0.02056,-2.3815,0.0150,25.00
37.2,-1.14034,4.89160,0.01725,-0.02069,-0.5059,0.0150,25.00
37.3,0.52531,1.59882,0.01449,0.02207,-1.7596,0.0150,25.00
37.4,-3.29513,1.19601,0.03089,0.04448,2.2329,0.0150,25.00
37.5,3.36000,-1.99189,-0.00857,0.01929,1.2964,0.0150,25.00
37.6,-0.02229,2.27680,0.01018,0.02053,0.9399,0.0150,25.00
37.7,5.34794,15.48089,-0.01144,-0.08553,-5.0406,0.0150,25.00
37.8,-4.18535,17.46396,0.01606,0.03074,-0.1699,0.0150,25.00
37.9,-2.78414,5.42055,0.00946,-0.00741,0.3947,0.0150,25.00
38.0,-1.75898,-11.28151,-0.07186,-0.00534,-4.0121,0.0150,25.00
38.1,-4.47131,1.63410,-0.01116,-0.00951,-2.1699,0.0150,25.00
38.2,3.44543,6.67252,-0.01090,-0.07222,-3.7260,0.0150,25.00
38.4,-2.62330,2.99578,0.02865,0.02615,-0.0830,0.0150,25.00
38.5,-1.40572,7.86834,0.02213,-0.00287,1.2196,0.0150,25.00
38.6,-1.58416,-6.68377,-0.05821,0.00803,-2.9634,0.0150,25.00
38.7,-4.24302,5.63533,0.00165,-0.01399,-1.2898,0.0150,25.00
38.8,1.11861,-4.51771,-0.03904,-0.03464,-4.3538,0.0150,25.00
38.9,-3.69410,5.41996,0.03456,0.02893,-0.4492,0.0150,25.00
39.0,5.64595,21.66235,0.05658,-0.06337,3.1510,0.0150,25.00
39.1,-3.48441,-15.36025,-0.06714,0.05400,-2.7229,0.0150,25.00
39.2,-1.97294,5.73769,0.06776,0.01321,4.0972,0.0150,25.00
39.3,4.28854,-2.69909,-0.10307,-0.06842,-11.5014,0.0150,25.00
39.4,-10.01167,0.13621,-0.03673,-0.00659,-5.4254,0.0150,25.00
39.5,-7.18032,0.94034,0.02391,-0.02187,-0.4482,0.0150,25.00
39.6,1.19237,12.78661,0.03735,0.01085,0.5203,0.0150,25.00
39.7,-2.55835,4.08497,0.01889,0.04086,1.1534,0.0150,25.00
39.8,1.61310,-4.85284,-0.04147,0.01081,-0.8067,0.0150,25.00
39.9,-1.28219,3.73123,0.04943,0.03435,1.4846,0.0150,25.00
