Time,XPosition,XVelocity,Angle,AngularVelocity
16.634,9.591865068919533e-7,9.506844737243399e-7,7.84971851075511e-7,-0.0000010938865391250687
16.635,9.601371913656775e-7,9.423013503801145e-7,7.838802442705628e-7,-0.0000010961531237339793
16.636,9.610794927160577e-7,9.339327692086587e-7,7.827863583997896e-7,-0.000001098407251152765
16.637,9.620134254852664e-7,9.255787474854529e-7,7.816902058976893e-7,-0.0000011006489375979511
16.638,9.62939004232752e-7,9.172393023533819e-7,7.805917991987599e-7,-0.0000011028781993176114
16.639,9.638562435351052e-7,9.089144508218575e-7,7.794911507374991e-7,-0.000001105095052594332
16.64,9.64765157985927e-7,9.006042097659721e-7,7.783882729484048e-7,-0.0000011072995137480718
16.641000000000002,9.65665762195693e-7,8.923085959256816e-7,7.77283178265975e-7,-0.0000011094915991389226
16.642,9.665580707916187e-7,8.840276259050169e-7,7.761758791247075e-7,-0.0000011116713251697727
16.643,9.674420984175238e-7,8.757613161713234e-7,7.750663879591002e-7,-0.0000011138387082888772
16.644000000000002,9.68317859733695e-7,8.675096830545264e-7,7.739547172036509e-7,-0.0000011159937649923398
16.645,9.691853694167497e-7,8.592727427464218e-7,7.728408792928576e-7,-0.0000011181365118265059
16.646,9.70044642159496e-7,8.510505114020348e-7,7.717248848848612e-7,-0.0000011202669653902757
16.647000000000002,9.70895692670898e-7,8.428430049433657e-7,7.706067481905166e-7,-0.0000011223851420614124
16.648,9.717385356758415e-7,8.346502391420978e-7,7.694864816443214e-7,-0.0000011244910585228516
16.649,9.725731859149837e-7,8.264722297299567e-7,7.683640959044169e-7,-0.000001126584731549826
16.65,9.733996581447136e-7,8.183089922037252e-7,7.672396051816577e-7,-0.0000011286661777068203
16.651,9.742179671369174e-7,8.101605420102151e-7,7.661130201341848e-7,-0.0000011307354138697462
16.652,9.750281276789277e-7,8.020268944611126e-7,7.649843531964962e-7,-0.0000011327924567364201
16.653,9.758301545733887e-7,7.939080646213952e-7,7.638536185794464e-7,-0.0000011348373230474179
16.654,9.766240626380101e-7,7.8580406750329e-7,7.627208269411767e-7,-0.0000011368700298931068
16.655,9.774098667055134e-7,7.777149180844151e-7,7.61585988939828e-7,-0.0000011388905941948205
16.656,9.78187581623598e-7,7.69640631102853e-7,7.60449118786255e-7,-0.0000011408990326457053
16.657,9.789572222547008e-7,7.615812211389263e-7,7.593102289149556e-7,-0.0000011428953622653077
16.658,9.797188034758396e-7,7.535367027256616e-7,7.581693299840708e-7,-0.0000011448796001897393
16.659,9.804723401785654e-7,7.45507090256082e-7,7.570264344280986e-7,-0.000001146851763368293
16.66,9.812178472688214e-7,7.37492397972831e-7,7.558815546815367e-7,-0.0000011488118688089245
16.661,9.819553396667943e-7,7.29492639966602e-7,7.547347031788831e-7,-0.0000011507599336120883
16.662,9.826848323067608e-7,7.215078302778044e-7,7.535858905782788e-7,-0.0000011526959749758584
16.663,9.834063401370386e-7,7.135379827007592e-7,7.524351310905786e-7,-0.000001154620009921232
16.664,9.841198781197393e-7,7.055831109689035e-7,7.512824353739234e-7,-0.0000011565320558169734
16.665,9.84825461230708e-7,6.976432286699963e-7,7.501278158628111e-7,-0.0000011584321298893354
16.666,9.85523104459378e-7,6.89718349338988e-7,7.489712832153828e-7,-0.0000011603202494417362
16.667,9.86212822808717e-7,6.818084862611472e-7,7.478128516424931e-7,-0.0000011621964316087494
16.668,9.868946312949783e-7,6.739136526572354e-7,7.466525318022832e-7,-0.0000011640606938844335
16.669,9.875685449476356e-7,6.660338615988202e-7,7.454903361292509e-7,-0.0000011659130536321476
16.67,9.882345788092345e-7,6.581691261012649e-7,7.443262752815372e-7,-0.0000011677535283038818
16.671,9.888927479353357e-7,6.50319459029018e-7,7.4316036169364e-7,-0.0000011695821351938523
16.672,9.895430673943648e-7,6.424848730853089e-7,7.419926078000572e-7,-0.0000011713988916905189
16.673000000000002,9.901855522674502e-7,6.346653808109175e-7,7.408230260352866e-7,-0.0000011732038153101826
16.674,9.90820217648261e-7,6.268609946862044e-7,7.396516270574693e-7,-0.000001174996923700998
16.675,9.914470786429472e-7,6.190717270377043e-7,7.384784233011032e-7,-0.0000011767782343670915
16.676000000000002,9.920661503699849e-7,6.112975900280794e-7,7.373034272006862e-7,-0.000001178547764916322
16.677,9.92677447960013e-7,6.035385957570441e-7,7.361266494143592e-7,-0.0000011803055330930421
16.678,9.9328098655577e-7,5.957947561678921e-7,7.349481023766202e-7,-0.0000011820515565058196
16.679000000000002,9.93876781311938e-7,5.880660831395625e-7,7.337677967456102e-7,-0.000001183785852875417
16.68,9.944648473950776e-7,5.803525883920576e-7,7.325857449558271e-7,-0.000001185508439791399
16.681,9.950451999834696e-7,5.726542834764009e-7,7.314019594417687e-7,-0.0000011872193349637288
16.682,9.95617854266946e-7,5.649711798757189e-7,7.30216450861576e-7,-0.0000011889185562555146
16.683,9.961828254468217e-7,5.573032889119413e-7,7.290292316497471e-7,-0.0000011906061214102163
16.684,9.967401287357337e-7,5.496506218380359e-7,7.278403124644228e-7,-0.0000011922820482990624
16.685,9.972897793575716e-7,5.420131897435891e-7,7.266497057401011e-7,-0.000001193946354677107
16.686,9.978317925473151e-7,5.343910035449204e-7,7.254574239112799e-7,-0.000001195599058434295
16.687,9.983661835508601e-7,5.267840740863161e-7,7.242634776361001e-7,-0.0000011972401776276962
16.688,9.988929676249465e-7,5.19192412046873e-7,7.230678793490597e-7,-0.0000011988697302082214
16.689,9.994121600369933e-7,5.116160280328747e-7,7.218706397082997e-7,-0.0000012004877342675658
16.69,9.99923776065026e-7,5.040549325855482e-7,7.206717693719611e-7,-0.0000012020942077938094
16.691,0.0000010004278309976116,4.965091360777588e-7,7.194712807745418e-7,-0.0000012036891686461204
16.692,0.0000010009243401336893,4.889786487031202e-7,7.182691863505397e-7,-0.0000012052726348347996
